"gID";"T";"x";"y";"itemInCraneID"
0;10503.0;835;85;null
1;10503.0;855;85;2630
0;10535.0;995;5;null
1;10535.0;1015;5;2630
0;10545.0;995;5;null
1;10545.0;1015;5;null
0;10595.0;745;55;null
1;10595.0;765;55;null
1;10595.0;765;55;null
0;10605.0;745;55;null
1;10605.0;765;55;2621
0;10655.0;995;5;null
1;10655.0;1015;5;2621
0;10665.0;995;5;null
1;10665.0;1015;5;null
0;10689.0;875;85;null
1;10689.0;895;85;null
1;10689.0;895;85;null
0;10699.0;875;85;null
1;10699.0;895;85;2640
0;10723.0;995;5;null
1;10723.0;1015;5;2640
0;10733.0;995;5;null
1;10733.0;1015;5;null
0;10829.0;515;15;null
1;10829.0;535;15;null
1;10829.0;535;15;null
0;10839.0;515;15;null
1;10839.0;535;15;2645
0;10935.0;995;5;null
1;10935.0;1015;5;2645
0;10945.0;995;5;null
1;10945.0;1015;5;null
0;10997.0;735;65;null
1;10997.0;755;65;null
1;10997.0;755;65;null
0;11007.0;735;65;null
1;11007.0;755;65;2637
0;11059.0;995;5;null
1;11059.0;1015;5;2637
0;11069.0;995;5;null
1;11069.0;1015;5;null
0;11235.0;165;65;null
1;11235.0;185;65;null
0;11245.0;165;65;2191
1;11245.0;185;65;null
0;11383.0;855;85;2191
1;11383.0;875;85;null
0;11393.0;855;85;null
1;11393.0;875;85;null
0;11535.0;145;65;null
1;11535.0;165;65;null
0;11545.0;145;65;null
1;11545.0;165;65;954
0;11547.0;155;55;null
1;11547.0;175;55;954
0;11557.0;155;55;null
1;11557.0;175;55;null
0;11559.0;165;65;null
1;11559.0;185;65;null
0;11569.0;165;65;508
1;11569.0;185;65;null
0;11595.0;35;25;508
1;11595.0;55;25;null
0;11605.0;35;25;null
1;11605.0;55;25;null
0;11627.0;145;65;null
1;11627.0;165;65;null
0;11637.0;145;65;null
1;11637.0;165;65;266
0;11807.0;995;5;null
1;11807.0;1015;5;266
0;11817.0;995;5;null
1;11817.0;1015;5;null
0;11953.0;315;45;null
1;11953.0;335;45;null
1;11953.0;335;45;null
0;11963.0;315;45;null
1;11963.0;335;45;1967
0;12099.0;995;5;null
1;12099.0;1015;5;1967
0;12109.0;995;5;null
1;12109.0;1015;5;null
0;12117.0;955;25;null
1;12117.0;975;25;null
1;12117.0;975;25;null
0;12127.0;955;25;null
1;12127.0;975;25;2306
0;12135.0;995;5;null
1;12135.0;1015;5;2306
0;12145.0;995;5;null
1;12145.0;1015;5;null
0;12235.0;545;25;null
1;12235.0;565;25;null
1;12235.0;565;25;null
0;12245.0;545;25;null
1;12245.0;565;25;2505
0;12335.0;995;5;null
1;12335.0;1015;5;2505
0;12345.0;995;5;null
1;12345.0;1015;5;null
0;12359.0;925;15;null
1;12359.0;945;15;null
0;12369.0;925;15;1885
1;12369.0;945;15;null
0;12439.0;575;75;1885
1;12439.0;595;75;null
0;12449.0;575;75;null
1;12449.0;595;75;null
0;12515.0;905;15;null
1;12515.0;925;15;null
0;12525.0;905;15;null
1;12525.0;925;15;1635
0;12611.0;475;45;null
1;12611.0;495;45;1635
0;12621.0;475;45;null
1;12621.0;495;45;null
0;12707.0;905;15;null
1;12707.0;925;15;null
0;12717.0;905;15;null
1;12717.0;925;15;1362
0;12735.0;995;5;null
1;12735.0;1015;5;1362
0;12745.0;995;5;null
1;12745.0;1015;5;null
0;12849.0;475;5;null
1;12849.0;495;5;null
1;12849.0;495;5;null
0;12859.0;475;5;null
1;12859.0;495;5;2596
0;12963.0;995;5;null
1;12963.0;1015;5;2596
0;12973.0;995;5;null
1;12973.0;1015;5;null
0;12977.0;975;15;null
1;12977.0;995;15;null
0;12987.0;975;15;1361
1;12987.0;995;15;null
0;13137.0;225;95;1361
